id;username;password;company;client;secret
1;Maine;payment JBOD;Synergized Small;installation;Refined migration index
2;reintermediate Buckinghamshire;Home;generate Account Analyst;Account Chips Cotton;Future
3;parsing implement;Steel object-oriented Soft;index Global Loan;Concrete productize;Data alliance grow
4;Divide Towels;embrace Adaptive;Exclusive;killer Front-line empowering;Chair card Streamlined
5;Road sexy Neck;Kingdom index;Designer Bedfordshire yellow;Refined;multi-byte
6;Home;brand;reinvent task-force gold;Missouri microchip Borders;circuit Car frame
7;deposit;California;programming Steel;Avon;Terrace
8;utilisation connect;Specialist;Cambridgeshire;Unbranded indexing;Solutions
9;Flats;quantify Car;Bacon Avon;Plastic Corporate;Communications feed HDD
10;Reduced;seamless;Intranet;Shoes withdrawal;payment
